path,top_level,kind,lifecycle,workflow,proposed_action,risk,confidence,duplicate_group,rationale,human_decision,human_notes
.ai_state.md,.ai_state.md,documentation-or-report,repo-governance,repo-governance,keep-maintained,low,high,,repo-level governance or metadata,keep-maintained,
.claude/settings.local.json,.claude,text,repo-governance,repo-governance,keep-maintained,low,high,,repo-level governance or metadata,keep-maintained,
.gitignore,.gitignore,text,repo-governance,repo-governance,keep-maintained,low,high,,repo-level governance or metadata,keep-maintained,
api/getword.md,api,documentation-or-report,reference-doc,api-design,document-owner,low,high,,API design documentation,document-owner,
api/listhier.md,api,documentation-or-report,reference-doc,api-design,document-owner,low,high,,API design documentation,document-owner,
api/readme.md,api,documentation-or-report,reference-doc,api-design,document-owner,low,high,,API design documentation,document-owner,
api/servepdf.md,api,documentation-or-report,reference-doc,api-design,document-owner,low,high,,API design documentation,document-owner,
ARCHITECTURE_REVIEW.md,ARCHITECTURE_REVIEW.md,documentation-or-report,reference-doc,review-roadmap,keep-maintained,low,high,,cleanup/architecture planning artifact,keep-maintained,
aws/aws_blobs_misc_list.txt,aws,documentation-or-report,external-inventory,aws-inventory,archive-no-refactor,low,high,,external AWS/blob inventory,archive-no-refactor,
aws/aws_blobs_orig_list.txt,aws,documentation-or-report,external-inventory,aws-inventory,archive-no-refactor,low,high,,external AWS/blob inventory,archive-no-refactor,
aws/aws_blobs_pywork_list.txt,aws,documentation-or-report,external-inventory,aws-inventory,archive-no-refactor,low,high,,external AWS/blob inventory,archive-no-refactor,
aws/aws_pdfs_list.txt,aws,documentation-or-report,external-inventory,aws-inventory,archive-no-refactor,low,high,,external AWS/blob inventory,archive-no-refactor,
aws/aws_PWpdfs_list.txt,aws,documentation-or-report,external-inventory,aws-inventory,archive-no-refactor,low,high,,external AWS/blob inventory,archive-no-refactor,
aws/aws_scans_list.txt,aws,documentation-or-report,external-inventory,aws-inventory,archive-no-refactor,low,high,,external AWS/blob inventory,archive-no-refactor,
aws/aws_scans_summary.txt,aws,documentation-or-report,external-inventory,aws-inventory,archive-no-refactor,low,high,,external AWS/blob inventory,archive-no-refactor,
aws/aws_web1_list.txt,aws,documentation-or-report,external-inventory,aws-inventory,archive-no-refactor,low,high,,external AWS/blob inventory,archive-no-refactor,
aws/awsintro.txt,aws,documentation-or-report,external-inventory,aws-inventory,archive-no-refactor,low,high,,external AWS/blob inventory,archive-no-refactor,
CITATION.cff,CITATION.cff,text,repo-governance,repo-governance,keep-maintained,low,high,,repo-level governance or metadata,keep-maintained,
CLAUDE.md,CLAUDE.md,documentation-or-report,repo-governance,repo-governance,keep-maintained,low,high,,repo-level governance or metadata,keep-maintained,
CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,documentation-or-report,repo-governance,repo-governance,keep-maintained,low,high,,repo-level governance or metadata,keep-maintained,
Cologne Digital Sanskrit Dictionaries Harvard Bibliography.pdf,Cologne Digital Sanskrit Dictionaries Harvard Bibliography.pdf,reference-artifact,reference-doc,scholarly-reference,archive-no-refactor,low,high,,binary scholarly/reference artifact,archive-no-refactor,
CONTRIBUTING.md,CONTRIBUTING.md,documentation-or-report,repo-governance,repo-governance,keep-maintained,low,high,,repo-level governance or metadata,keep-maintained,
eascii/all_ea.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode summary,mark-generated,
eascii/catall.sh,eascii,shell-script,active-core,unicode-audit,harden-ops,low,high,,repeatable Unicode audit workflow,harden-ops,
eascii/ea.py,eascii,python-script,active-core,unicode-audit,test-and-package,low,high,,repeatable Unicode audit workflow,test-and-package,
eascii/eachanges-degree/changes/acc_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/changes/ap90_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/changes/ben_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/changes/gst_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/changes/ieg_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/changes/inm_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/changes/krm_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/changes/mci_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/changes/mw72_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/changes/pwg_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/changes/shs_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/changes/vei_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/changes/yat_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/copy_orig.sh,eascii,shell-script,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/log_changes.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/make_change.py,eascii,python-script,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/readme.txt,eascii,documentation-or-report,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/redo_changes.sh,eascii,shell-script,archival-issue,unicode-audit,archive-no-refactor,low,high,,generated Unicode report or historical correction batch,archive-no-refactor,
eascii/eachanges-degree/updateByLine.py,eascii,python-script,archival-issue,unicode-audit,archive-no-refactor,low,high,dup-015,generated Unicode report or historical correction batch; duplicate Python file in dup-015; leave archival copy unless migrating future work,archive-no-refactor,
eascii/eadata/ea_acc.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_ae.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_ap90.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_armh.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,dup-001,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_ben.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_bhs.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_bop.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_bor.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_bur.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_cae.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_ccs.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_gra.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_gst.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_ieg.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_inm.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_krm.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_lan.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_mci.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_md.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_mw.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_mw72.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_mwe.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_pe.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_pgn.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_pui.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_pw.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_pwg.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_sch.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_shs.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_skd.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_snp.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_stc.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_vcp.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_vei.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_wil.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/eadata/ea_yat.txt,eascii,documentation-or-report,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode report or historical correction batch,mark-generated,
eascii/easummary.py,eascii,python-script,active-core,unicode-audit,test-and-package,low,high,,repeatable Unicode audit workflow,test-and-package,
eascii/easummary.tsv,eascii,text,generated-report,unicode-audit,mark-generated,low,high,,generated Unicode summary,mark-generated,
